,indicator,importance
0,feruloyltyramine,0.22297195
1,(S)-Piperazine-2-carboxamide,0.12561382
2,f__Ruminococcaceae,0.06563749
3,Isofebrifugine,0.06454251
4,bodyweight,0.050108902
5,"""N,N-Dihydroxy-L-tryptophan""",0.03788421
6,Testosterone phenylpropionate,0.034634713
7,Food consumption,0.03324794
8,Glycerol,0.025720095
9,PE(15:0/20:0),0.023201296
10,Salannin,0.02310122
11,"""(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid""",0.01795076
12,Diethyloxalpropionate,0.017085964
13,Aurantio-obtusin,0.016734885
14,N-Benzoyl-D-arginine-4-nitroanilide,0.01660921
15,"""1-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)-1H-pyrrole-2,5-dione""",0.016046604
16,"""2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole""",0.015687712
17,Promethazine,0.014955585
18,g__uncultured,0.014811082
19,f__Alcaligenaceae,0.01441309
20,"""N-alpha-Acetyl-L-2,4-diaminobutyrate""",0.011097555
21,g__Corynebacterium_1,0.0106878495
22,Iso-Valeraldehyde,0.008992425
