,indicator,importance
2,g__Lachnospiraceae_UCG-001,0.31012356
19,g__Family_XIII_UCG-001,0.09752843
9,g__Ruminiclostridium,0.070787035
15,g__Rikenella,0.05893184
20,g__Akkermansia,0.057864662
5,g__Peptococcus,0.04969779
16,g__Raoultella,0.047946353
0,g__Staphylococcus,0.041508224
7,g__Alcaligenes,0.040074144
12,g__Anaerofustis,0.028324816
8,g__Lachnospiraceae_UCG-006,0.027911795
17,g__Ruminococcaceae_NK4A214_group,0.023708127
21,g__Lachnoclostridium,0.019786442
18,g__Acinetobacter,0.019182848
4,g__Ruminococcaceae_UCG-014,0.01847114
11,g__Bifidobacterium,0.014082805
3,g__Ruminococcaceae_UCG-013,0.013520877
13,g__Sutterella,0.013342478
6,g__Eubacterium_oxidoreducens_group,0.012679454
1,g__Coriobacteriaceae_UCG-002,0.012586946
10,g__Corynebacterium,0.012206046
14,g__Eubacterium_coprostanoligenes_group,0.009734139
