,indicator,importance
10,g__Eubacterium_nodatum_group,0.25523284
3,g__Defluviitaleaceae_UCG-011,0.17696956
13,g__uncultured,0.08138442
8,g__Anaerofustis,0.069623336
4,g__wallaby_gut_metagenome,0.0667088
1,g__Ruminococcaceae_UCG-014,0.060286537
6,g__Ruminiclostridium,0.05546425
9,g__Stenotrophomonas,0.04567477
11,g__Ureaplasma,0.042713143
2,g__Peptococcus,0.026002405
15,g__Comamonas,0.024833832
5,g__Ruminiclostridium_6,0.02389753
7,g__Ruminococcaceae_UCG-010,0.023144543
14,g__Parvibacter,0.021023454
12,g__Coprococcus_2,0.012608125
0,g__Lachnospiraceae_UCG-001,0.011144339
16,g__Longilinea,0.003288129
