,indicator,importance
0,Myxalamid S,0.09142875
1,Homoisocitrate,0.088188484
2,Bombykol,0.08259315
3,"""3,4-DIHYDROXYPHENYLACETATE""",0.0811235
4,Cryptolepine,0.06619962
5,16-Hydroxyhexadecanoic acid,0.061743364
6,Phenylmethanesulfonyl fluoride,0.052780136
7,Batrachotoxinin A,0.045382082
8,Lipoic acid reduced,0.032422822
9,"""5alpha-Androstane-3beta,17beta-diol diacetate""",0.029907271
10,Melatonin,0.026556559
11,bodyweight,0.026436346
12,lamalbid,0.02067144
13,"""17,21-Epoxy-9-fluoro-11beta-hydroxypregn-4-ene-3,20-dione""",0.019089097
14,Perindopril,0.01872805
15,Musk ambrette,0.018054824
16,Thiodiacetic acid sulfoxide,0.017291503
17,Clavam-2-carboxylate,0.015951708
18,8-C-Glucosylnaringenin,0.013007088
19,S-(2-Methylpropionyl)-dihydrolipoamide-E,0.0124730235
20,26-Hydroxybrassinolide,0.012014866
21,Celastrol,0.011938032
22,"""11(Z),14(Z)-Eicosadienoic acid""",0.010512015
