,indicator,importance
0,Myxalamid S,0.09143784
1,Homoisocitrate,0.08819725
2,Bombykol,0.08260136
3,"""3,4-DIHYDROXYPHENYLACETATE""",0.08113157
4,Cryptolepine,0.06620621
5,16-Hydroxyhexadecanoic acid,0.061749503
6,Phenylmethanesulfonyl fluoride,0.052785385
7,Batrachotoxinin A,0.045386594
8,Lipoic acid reduced,0.032426048
9,"""5alpha-Androstane-3beta,17beta-diol diacetate""",0.029910246
10,Melatonin,0.0265592
11,bodyweight,0.026438974
12,lamalbid,0.020673495
13,"""17,21-Epoxy-9-fluoro-11beta-hydroxypregn-4-ene-3,20-dione""",0.019090993
14,Perindopril,0.01872991
15,Musk ambrette,0.01805662
16,Thiodiacetic acid sulfoxide,0.01729322
17,Clavam-2-carboxylate,0.015953295
18,8-C-Glucosylnaringenin,0.01300838
19,S-(2-Methylpropionyl)-dihydrolipoamide-E,0.012474263
20,26-Hydroxybrassinolide,0.012016061
21,Celastrol,0.011939218
22,"""11(Z),14(Z)-Eicosadienoic acid""",0.01051306
