,indicator,importance
8,meta_3578,0.24264832
9,meta_3347,0.21883737
3,meta_736,0.10265937
10,meta_145,0.063848585
14,meta_1013,0.061657224
13,meta_2701,0.05998962
12,meta_178,0.052062765
15,meta_41,0.031840943
11,meta_42,0.030320697
7,meta_3220,0.023425845
16,meta_1176,0.019079752
18,meta_2433,0.016807543
1,meta_1256,0.014319942
4,meta_3247,0.011097106
17,meta_2340,0.010403784
2,meta_734,0.009515954
6,meta_3222,0.00873369
19,meta_640,0.008270404
0,meta_3016,0.008212859
5,meta_1571,0.006268232
