,0
g__Candidatus_Soleaferrea,0.7684314
g__Morganella,0.17445354
g__Stenotrophomonas,0.09253547
g__Gemella,0.07543616
g__Longilinea,0.066338
g__Family_XIII_UCG-001,0.06514658
g__Sporosarcina,0.057177115
g__Eubacterium_brachy_group,0.05582539
g__mouse_gut_metagenome,0.048512686
g__Ruminiclostridium_9,0.04405846
g__Rikenella,0.041667804
g__unidentified,0.040124465
g__Ruminococcaceae_UCG-014,0.03132345
g__uncultured,0.028283715
g__Eubacterium_coprostanoligenes_group,0.026283434
g__Peptococcus,0.018410152
g__Bifidobacterium,0.013843495
g__Rikenellaceae_RC9_gut_group,0.013282848
g__Allobaculum,0.012322061
g__Prevotellaceae_UCG-001,0.008363011
g__Lachnospiraceae_UCG-006,0.005914727
g__Lachnospiraceae_UCG-001,0.0018200135
