,indicator,importance
0,g__Staphylococcus,0.009539264
1,g__Coriobacteriaceae_UCG-002,0.025697684
2,g__Lachnospiraceae_UCG-001,0.513369
3,g__Ruminococcaceae_UCG-013,0.0065673743
4,g__Ruminococcaceae_UCG-014,0.012969692
5,g__Peptococcus,0.025301492
6,g__Alcaligenes,0.02352569
7,g__Lachnospiraceae_UCG-006,0.04158378
8,g__Ruminiclostridium,0.024441466
9,g__Corynebacterium,0.0106057
10,g__Bifidobacterium,0.030398559
11,g__Anaerofustis,0.048180547
12,g__Sutterella,0.002536061
13,g__Eubacterium_coprostanoligenes_group,0.020875692
14,g__Rikenella,0.013746932
15,g__Raoultella,0.029358454
16,g__Ruminococcaceae_NK4A214_group,0.019247517
17,g__Acinetobacter,0.012646317
18,g__Family_XIII_UCG-001,0.026231121
19,g__Akkermansia,0.08131584
20,g__Lachnoclostridium,0.021861732
