,indicator,importance
0,g__Lachnospiraceae_UCG-001,0.017946143
1,g__Ruminococcaceae_UCG-014,0.023433996
2,g__Lachnospiraceae_FCS020_group,0.02596825
3,g__Clostridium_sensu_stricto_1,0.03737178
4,g__Gemella,0.0015981147
5,g__Eisenbergiella,0.009530689
6,g__Peptococcus,0.034585662
7,g__Defluviitaleaceae_UCG-011,0.072397955
8,g__Clostridium_innocuum_group,0.0
9,g__wallaby_gut_metagenome,0.08830365
10,g__Ruminiclostridium_6,0.0061417846
11,g__Ruminiclostridium,0.0951098
12,g__Ruminococcaceae_UCG-010,0.005877707
13,g__Anaerofustis,0.07173005
14,g__Eubacterium_fissicatena_group,0.020709572
15,g__Anaerovorax,0.008227342
16,g__Stenotrophomonas,0.02350106
17,g__Coprococcus_1,0.039807968
18,g__Eubacterium_nodatum_group,0.11833296
19,g__Ureaplasma,0.0028076973
20,g__Acetatifactor,0.019848593
21,g__Rikenellaceae_RC9_gut_group,0.021326724
22,g__Candidatus_Arthromitus,0.020837283
23,g__Coprococcus_2,0.0
24,g__uncultured,0.05244042
25,g__Candidatus_Stoquefichus,0.017749444
26,g__Bacillus,0.036296923
27,g__Parvibacter,0.083606854
28,g__Comamonas,0.019694084
29,g__Lachnospiraceae_NK4A136_group,0.0248176
30,g__Longilinea,0.0
