,indicator,importance
0,2-Hydroxybenzothiazole,0.12432592
1,"""2,2',3-Trihydroxy-3'-methoxy-5,5'-dicarboxybiphenyl""",0.10255541
2,3-tert-Butyl-5-methylcatechol,0.068375446
3,5-Fluorouridine,0.05666019
4,trans-Aconitic acid,0.05437942
5,Diisobutyl adipate,0.046990503
6,N-Acetyl-D-mannosaminolactone,0.0469546
7,Meteloidine,0.03674395
8,Dihydrospheroidene/ Methoxyneurosporene,0.03400129
9,MeIQx,0.03359782
10,Oleoyl sarcosine,0.032957427
11,8-Methyl-6-nonenoic acid,0.029784858
12,Cetrimide,0.02335981
13,"""[1-(3,5-dihydroxyphenyl)-12-hydroxytridecan-2-yl] acetate""",0.01968148
14,Cryptomeridiol,0.018327434
15,"""2,3-Dideoxyuridine""",0.017699461
16,4-Oxocyclohexanecarboxylate,0.013917582
17,f__Ruminococcaceae,0.012523803
18,Pantothenic acid,0.012379806
19,Soyasapogenol E,0.012216504
20,Glyceraldehyde,0.011600408
21,3-(4-Hydroxyphenyl)propionic acid,0.011132699
22,L-kynurenine,0.011058625
23,(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate,0.010168881
