,indicator,importance
0,PE(15:0/20:0),0.099450685
1,COLFORSIN,0.092088535
2,g__Eubacterium_nodatum_group.1,0.09032616
3,"""2-Dimethylamino-5,6-dimethylpyrimidin-4-ol""",0.06851908
4,"""5alpha-Androstane-3beta,17beta-diol diacetate""",0.056070644
5,Hexadecanamide,0.047558717
6,cyclohexylammonium,0.04753878
7,Halstoctacosanolide A,0.039767936
8,protein,0.03619566
9,Deidaclin,0.032769486
10,Valsartan acid,0.03107559
11,"""3-(3,4-Dichlorophenyl)-1-hydroxy-1-methylurea""",0.027900454
12,ALPHA-AMINOADIPATE,0.026790975
13,cis-2-Carboxycyclohexyl-acetic acid,0.025795624
14,Calystegin A3,0.022852834
15,Zingerone,0.020763798
16,"""2,3,4,7,8-Pentachlorodibenzofuran""",0.018432548
17,f__Prevotellaceae,0.014617755
18,Parsonsine,0.014302972
19,"""1,2-dihydroxyheptadec-16-yn-4-yl acetate""",0.014138762
20,Thymol-beta-D-glucoside,0.013229319
21,"""2,4-Dimethylphenol""",0.011939743
22,Haloperidol,0.0106132915
23,Isofenphos,0.0075213085
24,Pyraclofos,0.006680937
25,guaiazulene,0.0065941946
26,g__Hydrogenoanaerobacterium,0.006377718
27,g__Parabacteroides,0.0052120266
28,g__mouse_gut_metagenome,0.005204666
29,Chlordimeform,0.0051618326
30,TRIBOA,0.0051361336
31,"""(4S)-4,5-Dihydroxypentan-2,3-dione""",0.0047515426
32,Thiomorpholine 3-carboxylate,0.0047072037
33,Sesamose,0.0046435655
34,sn-3-O-(geranylgeranyl)glycerol 1-phosphate,0.004094378
